dimension_index,dimension_label,positive_terms,negative_terms,absolute_terms
0,1,"people (0.151), labour (0.123), party (0.107), government (0.106), trump (0.101), it's (0.101), brexit (0.094), like (0.092), new (0.090), women (0.085)","qu'a (0.000), l'on (0.000), quelques (0.000), besoin (0.000), publiques (0.000), pourquoi (0.000), doit (0.000), peuple (0.000), nombreux (0.000), avoir (0.000)","people (0.151), labour (0.123), party (0.107), government (0.106), trump (0.101), it's (0.101), brexit (0.094), like (0.092), new (0.090), women (0.085)"
1,2,"labour (0.319), brexit (0.274), party (0.229), eu (0.222), tory (0.136), mps (0.120), vote (0.118), voters (0.117), johnson (0.115), election (0.115)","women (-0.192), children (-0.097), it's (-0.096), people (-0.093), men (-0.084), i'm (-0.074), like (-0.069), life (-0.066), black (-0.066), health (-0.059)","labour (0.319), brexit (0.274), party (0.229), eu (0.222), women (-0.192), tory (0.136), mps (0.120), vote (0.118), voters (0.117), johnson (0.115)"
2,3,"trump (0.546), trump's (0.209), president (0.164), biden (0.125), republican (0.118), war (0.114), russia (0.096), donald (0.093), israel (0.091), american (0.090)","labour (-0.138), health (-0.092), nhs (-0.091), care (-0.089), children (-0.079), people (-0.071), work (-0.062), housing (-0.059), tax (-0.057), pay (-0.053)","trump (0.546), trump's (0.209), president (0.164), labour (-0.138), biden (0.125), republican (0.118), war (0.114), russia (0.096), donald (0.093), health (-0.092)"
3,4,"women (0.248), labour (0.236), party (0.205), corbyn (0.108), men (0.106), election (0.096), voters (0.089), vote (0.085), it's (0.084), i'm (0.078)","climate (-0.141), eu (-0.122), government (-0.106), uk (-0.102), countries (-0.102), global (-0.094), health (-0.088), tax (-0.086), european (-0.081), economic (-0.080)","women (0.248), labour (0.236), party (0.205), climate (-0.141), eu (-0.122), corbyn (0.108), government (-0.106), men (0.106), uk (-0.102), countries (-0.102)"
4,5,"eu (0.373), brexit (0.270), european (0.151), women (0.136), deal (0.130), ireland (0.118), europe (0.112), uk (0.104), britain (0.097), referendum (0.087)","labour (-0.242), trump (-0.216), tax (-0.156), party (-0.135), election (-0.094), voters (-0.091), trump's (-0.079), housing (-0.078), republican (-0.076), democrats (-0.074)","eu (0.373), brexit (0.270), labour (-0.242), trump (-0.216), tax (-0.156), european (0.151), women (0.136), party (-0.135), deal (0.130), ireland (0.118)"
5,6,"women (0.420), israel (0.171), labour (0.149), police (0.143), men (0.132), gaza (0.129), violence (0.128), israeli (0.121), rights (0.108), women's (0.097)","trump (-0.242), brexit (-0.115), it's (-0.108), i'm (-0.102), eu (-0.100), like (-0.085), trump's (-0.083), don't (-0.065), i've (-0.058), time (-0.054)","women (0.420), trump (-0.242), israel (0.171), labour (0.149), police (0.143), men (0.132), gaza (0.129), violence (0.128), israeli (0.121), brexit (-0.115)"
6,7,"women (0.390), trump (0.216), eu (0.182), brexit (0.128), men (0.116), abortion (0.105), women's (0.089), tax (0.082), trump's (0.081), trade (0.075)","israel (-0.236), gaza (-0.183), israeli (-0.164), war (-0.148), labour (-0.140), palestinian (-0.122), palestinians (-0.115), israel's (-0.098), netanyahu (-0.095), hamas (-0.092)","women (0.390), israel (-0.236), trump (0.216), gaza (-0.183), eu (0.182), israeli (-0.164), war (-0.148), labour (-0.140), brexit (0.128), palestinian (-0.122)"
7,8,"climate (0.371), women (0.153), energy (0.145), emissions (0.130), fossil (0.120), change (0.114), global (0.107), carbon (0.106), gas (0.094), world (0.085)","nhs (-0.220), health (-0.209), care (-0.197), trump (-0.161), patients (-0.142), covid (-0.130), johnson (-0.120), children (-0.101), israel (-0.088), mental (-0.088)","climate (0.371), nhs (-0.220), health (-0.209), care (-0.197), trump (-0.161), women (0.153), energy (0.145), patients (-0.142), emissions (0.130), covid (-0.130)"
8,9,"women (0.334), tax (0.142), israel (0.142), gaza (0.114), ukraine (0.112), trump (0.105), men (0.099), israeli (0.098), russia (0.097), labour (0.096)","black (-0.278), police (-0.258), people (-0.128), white (-0.120), racism (-0.110), climate (-0.095), officers (-0.080), justice (-0.075), law (-0.068), communities (-0.067)","women (0.334), black (-0.278), police (-0.258), tax (0.142), israel (0.142), people (-0.128), white (-0.120), gaza (0.114), ukraine (0.112), racism (-0.110)"
9,10,"climate (0.294), johnson (0.224), covid (0.149), health (0.132), nhs (0.124), prime (0.112), emissions (0.106), patients (0.104), women (0.102), minister (0.098)","children (-0.186), eu (-0.149), schools (-0.142), school (-0.140), education (-0.139), housing (-0.123), black (-0.118), students (-0.116), tax (-0.110), parents (-0.103)","climate (0.294), johnson (0.224), children (-0.186), eu (-0.149), covid (0.149), schools (-0.142), school (-0.140), education (-0.139), health (0.132), nhs (0.124)"
10,11,"israel (0.309), gaza (0.239), israeli (0.230), palestinian (0.179), palestinians (0.171), netanyahu (0.130), climate (0.129), israel's (0.129), hamas (0.120), brexit (0.120)","russia (-0.261), ukraine (-0.259), russian (-0.236), putin (-0.229), war (-0.119), russia's (-0.108), putin's (-0.102), nato (-0.100), labour (-0.098), europe (-0.097)","israel (0.309), russia (-0.261), ukraine (-0.259), gaza (0.239), russian (-0.236), israeli (0.230), putin (-0.229), palestinian (0.179), palestinians (0.171), netanyahu (0.130)"
11,12,"johnson (0.227), tax (0.211), police (0.172), prime (0.121), government (0.109), minister (0.108), tory (0.106), sunak (0.099), public (0.095), johnson's (0.087)","climate (-0.217), health (-0.175), labour (-0.161), eu (-0.127), patients (-0.125), care (-0.122), children (-0.110), nhs (-0.105), mental (-0.093), vote (-0.090)","johnson (0.227), climate (-0.217), tax (0.211), health (-0.175), police (0.172), labour (-0.161), eu (-0.127), patients (-0.125), care (-0.122), prime (0.121)"
12,13,"children (0.348), schools (0.302), school (0.274), education (0.218), climate (0.176), johnson (0.175), parents (0.166), students (0.150), teachers (0.131), child (0.120)","workers (-0.136), nhs (-0.133), black (-0.126), people (-0.119), labour (-0.114), patients (-0.095), eu (-0.088), facebook (-0.076), health (-0.073), care (-0.069)","children (0.348), schools (0.302), school (0.274), education (0.218), climate (0.176), johnson (0.175), parents (0.166), students (0.150), workers (-0.136), nhs (-0.133)"
13,14,"black (0.405), white (0.183), johnson (0.147), housing (0.118), people (0.115), racism (0.107), police (0.086), women (0.080), climate (0.073), britain (0.067)","facebook (-0.199), data (-0.141), media (-0.137), ai (-0.117), companies (-0.113), tech (-0.109), court (-0.107), law (-0.103), information (-0.100), online (-0.097)","black (0.405), facebook (-0.199), white (0.183), johnson (0.147), data (-0.141), media (-0.137), housing (0.118), ai (-0.117), people (0.115), companies (-0.113)"
